"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","Botswana","Female","13.7","13.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2006","Africa","Congo","Female","21.9","21.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Comoros","Male","21.8","21.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Africa","Ghana","Male","14.1","14.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Africa","Ghana","Female","10.6","10.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Equatorial Guinea","Male","25.1","25.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Equatorial Guinea","Female","17.3","17.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","Africa","Kenya","Male","12.8","12.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Lesotho","Female","21.7","21.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Africa","Mauritania","Male","27.5","27.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2006","Africa","Mauritania","Female","29.5","29.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Africa","Mauritius","Male","19.9","19.90000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Africa","Namibia","Male","32.2","32.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Africa","Niger","Female","5.6","5.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2006","Africa","Niger","Male","15.2","15.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Rwanda","Female","9.5","9.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Africa","Sao Tome and Principe","Male","30.7","30.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Seychelles","Male","27.1","27.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Seychelles","Female","25.3","25.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","Seychelles","Female","24.9","24.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Americas","Argentina","Male","26.1","26.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Americas","Belize","Female","15.3","15.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Americas","Barbados","Female","23.2","23.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Americas","Costa Rica","Female","18.6","18.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Cuba","Male","19.8","19.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Americas","Guatemala","Female","13.3","13.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Americas","Saint Lucia","Male","24.5","24.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Americas","El Salvador","Male","24.4","24.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Americas","Trinidad and Tobago","Female","16.3","16.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Americas","Trinidad and Tobago","Female","17.8","17.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Americas","United States of America","Female","11.1","11.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Eastern Mediterranean","Iraq","Male","12.1","12.10000","","","Tobacco smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Eastern Mediterranean","Iraq","Female","4.6","4.60000","","","Tobacco smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Eastern Mediterranean","Kuwait","Female","14.3","14.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Eastern Mediterranean","Oman","Male","24.1","24.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Eastern Mediterranean","Sudan","Male","9.5","9.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Syrian Arab Republic","Female","19.5","19.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Tunisia","Male","27.8","27.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2001","Eastern Mediterranean","Tunisia","Male","24.9","24.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Europe","Albania","Male","17.6","17.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Europe","Armenia","Male","10.9","10.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Armenia","Female","2.7","2.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Europe","Bulgaria","Female","39.2","39.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Cyprus","Male","28.7","28.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Czech Republic","Male","35.0","35.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Estonia","Male","31.2","31.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Georgia","Female","13.6","13.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Croatia","Female","16.8","16.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Europe","Hungary","Male","40.6","40.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Europe","Italy","Male","19.4","19.40000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Europe","Italy","Female","21.6","21.60000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Europe","Kyrgyzstan","Male","10.3","10.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Europe","Latvia","Male","41.8","41.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Europe","Poland","Female","19.0","19.00000","","","Tobacco smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Poland","Female","31.7","31.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Romania","Male","22.2","22.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Russian Federation","Male","30.1","30.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Europe","Serbia","Male","10.8","10.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Europe","Serbia","Female","9.6","9.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Europe","Slovakia","Male","28.5","28.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Slovakia","Male","29.1","29.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Slovenia","Male","17.4","17.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Ukraine","Female","15.7","15.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","South-East Asia","Maldives","Male","7.9","7.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","South-East Asia","Myanmar","Female","5.8","5.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","South-East Asia","Nepal","Male","24.6","24.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","South-East Asia","Nepal","Male","13.0","13.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","South-East Asia","Timor-Leste","Male","39.7","39.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Western Pacific","Cook Islands","Female","49.6","49.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Western Pacific","Cambodia","Male","7.9","7.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Western Pacific","Malaysia","Female","11.5","11.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Western Pacific","Philippines","Female","11.8","11.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Western Pacific","Philippines","Male","26.5","26.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Western Pacific","Palau","Female","28.4","28.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Western Pacific","Solomon Islands","Male","43.9","43.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Western Pacific","Tonga","Male","44.9","44.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Western Pacific","Vanuatu","Female","19.6","19.60000","","",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Benin","Male","23.1 [12.6-37.4]","23.10000","12.60000","37.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Congo","Male","16.2 [12.1-21.1]","16.20000","12.10000","21.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Congo","Male","32.1 [22.9-41.9]","32.10000","22.90000","41.90000",""
